iter	RMSE
0	0.5211544681
1	0.5054328621
2	0.4906192867
3	0.4781355346
4	0.4645913647
5	0.4526020048
6	0.4406438284
7	0.4287685122
8	0.4188621463
9	0.4093960969
10	0.4001778055
11	0.3917018365
12	0.3832407113
13	0.3759284356
14	0.3692009179
15	0.3623904724
16	0.3550666781
17	0.3482911822
18	0.3420701585
19	0.3365999049
20	0.3314587879
21	0.3262722514
22	0.3212019264
23	0.3163516329
24	0.3128054867
25	0.3094122122
26	0.3058027637
27	0.3025909461
28	0.299592999
29	0.2962305725
30	0.2928423911
31	0.2897965512
32	0.2867666645
33	0.2839889082
34	0.2810174684
35	0.2789944825
36	0.2771884954
37	0.2749741272
38	0.2731919967
39	0.2709856378
40	0.2694396451
41	0.2677375926
42	0.266188945
43	0.264733352
44	0.2631417727
45	0.2618310561
46	0.2601232026
47	0.2589886947
48	0.2577196097
49	0.2565630376
50	0.2551852451
51	0.2541129103
52	0.2532907119
53	0.252136018
54	0.2509176571
55	0.2500494357
56	0.2492626674
57	0.2483668527
58	0.2475459973
59	0.2468846495
60	0.2461089712
61	0.2453326156
62	0.2446146996
63	0.2438376763
64	0.2432220351
65	0.2425452343
66	0.2419514297
67	0.240993141
68	0.2400719268
69	0.2392954037
70	0.2387214019
71	0.2378039059
72	0.237237395
73	0.2365044225
74	0.236188671
75	0.2355405769
76	0.2351464624
77	0.2344807996
78	0.2339002823
79	0.2333881811
80	0.2329036645
81	0.2325904376
82	0.2320670983
83	0.2316282802
84	0.2311073802
85	0.2304048335
86	0.2299741511
87	0.2296719891
88	0.2293711895
89	0.2289083759
90	0.2283123362
91	0.2279436447
92	0.227314761
93	0.2269211668
94	0.2265355779
95	0.2258359691
96	0.225526827
97	0.22513855
98	0.2246849701
99	0.22435151
100	0.2241027828
101	0.2236790468
102	0.2234685437
103	0.2234032098
104	0.223121577
105	0.2226134155
106	0.2222969405
107	0.2219733699
108	0.2218182708
109	0.2215596038
110	0.221281837
111	0.22104861
112	0.2208313694
113	0.2204157592
114	0.2198961945
115	0.2194286695
116	0.2191349251
117	0.2185332994
118	0.2184127016
119	0.2181693297
120	0.2178374449
121	0.2176098876
122	0.2172156997
123	0.2168034923
124	0.2164241431
125	0.2163568129
126	0.2161704497
127	0.2158529172
128	0.2154557709
129	0.2150664838
130	0.2147640693
131	0.2146574016
132	0.2141759344
133	0.213775938
134	0.2133537147
135	0.2131032035
136	0.2129004525
137	0.2122943335
138	0.2120017863
139	0.2118254969
140	0.2113216162
141	0.2109411103
142	0.2107164783
143	0.2101059225
144	0.2098623877
145	0.2097219782
146	0.2094606555
147	0.2093830993
148	0.2089455626
149	0.2088144968
150	0.208487593
151	0.2082104425
152	0.2080395111
153	0.2078557959
154	0.2076906349
155	0.2071668902
156	0.20698894
157	0.2067732141
158	0.2064425711
159	0.2062002097
160	0.2057627025
161	0.2056417883
162	0.2050507102
163	0.2050143575
164	0.2047206529
165	0.2042778568
166	0.2038057129
167	0.2034833511
168	0.2031004242
169	0.2026984082
170	0.202632048
171	0.2023837658
172	0.2022634054
173	0.201896069
174	0.2016085459
175	0.2013851442
176	0.2013199918
177	0.2010856846
178	0.2008733629
179	0.2004658698
180	0.1998709804
181	0.199539064
182	0.1989988127
183	0.1989189182
184	0.1983908301
185	0.1980797378
186	0.1977562935
187	0.1976848889
188	0.197543573
189	0.1974535021
190	0.1972662393
191	0.197192232
192	0.1969947583
193	0.1967497305
194	0.19627672
195	0.1962107299
196	0.1961358302
197	0.1957754311
198	0.1957209339
199	0.1947678659
200	0.1943279047
201	0.1942678731
202	0.1940314452
203	0.1931486152
204	0.1926344116
205	0.1923633824
206	0.1923091265
207	0.1918883088
208	0.1916049659
209	0.1911320343
210	0.1907469856
211	0.1901383442
212	0.1896108814
213	0.1895319644
214	0.1891969644
215	0.1890359153
216	0.1889729086
217	0.1885489391
218	0.1880620463
219	0.1879475501
220	0.1878941997
221	0.1878425048
222	0.1875344754
223	0.1873272526
224	0.1869487233
225	0.1865455651
226	0.1858892318
227	0.1853317519
228	0.1851858409
229	0.1851301618
230	0.1845236839
231	0.1844233202
232	0.1838891797
233	0.1837147243
234	0.1832286258
235	0.18318057
236	0.1825363894
237	0.1821620782
238	0.1819446435
239	0.1819026518
240	0.1818012823
241	0.1817525883
242	0.1812104348
243	0.1805692896
244	0.1798161134
245	0.1796898913
246	0.1793635871
247	0.1792573219
248	0.1792108035
249	0.1787711921
250	0.1783188637
251	0.1779876657
252	0.1779443586
253	0.1776110973
254	0.1775689153
255	0.1771454667
256	0.1769917644
257	0.1767089595
258	0.1765718647
259	0.1760317587
260	0.1755169396
261	0.1752513403
262	0.1744751534
263	0.1743859747
264	0.1741301514
265	0.1738265024
266	0.173543185
267	0.1730252831
268	0.1727125355
269	0.1726726921
270	0.1722284616
271	0.1717160612
272	0.1716681977
273	0.1716191298
274	0.1711791458
275	0.1709737101
276	0.1708445309
277	0.170323792
278	0.1698909805
279	0.1697680968
280	0.1693260371
281	0.1689436061
282	0.1685681219
283	0.1683519002
284	0.1679920404
285	0.1677025291
286	0.1676635341
287	0.1676255048
288	0.1669120339
289	0.1666549455
290	0.1665700339
291	0.1662579767
292	0.1660826413
293	0.1659862721
294	0.1659496142
295	0.1657879759
296	0.1654035323
297	0.1652323498
298	0.164841235
299	0.164627589
300	0.1642845686
301	0.1641732472
302	0.1641074889
303	0.1639898196
304	0.1639293793
305	0.1636342979
306	0.1632322034
307	0.162981535
308	0.1624473409
309	0.1622963615
310	0.1622603486
311	0.1622252249
312	0.1618420361
313	0.1614725096
314	0.1611189521
315	0.160807105
316	0.16026334
317	0.1599608825
318	0.1596110617
319	0.1593151578
320	0.1589341867
321	0.1588149275
322	0.1587433268
323	0.1583554047
324	0.1579879238
325	0.1576954713
326	0.1576614064
327	0.157624089
328	0.1572788464
329	0.1568738496
330	0.1565133637
331	0.1562021955
332	0.1560657597
333	0.1559876208
334	0.1556140063
335	0.1555774703
336	0.1552108616
337	0.1549311306
338	0.1545734216
339	0.1545147962
340	0.1539101066
341	0.153834604
342	0.1535425647
343	0.1535069736
344	0.153445609
345	0.1530991308
346	0.1527341938
347	0.1524351205
348	0.15212705
349	0.151898686
350	0.1515762341
351	0.1511603224
352	0.1508954406
353	0.1505776385
354	0.1503509066
355	0.1501136644
356	0.1500796435
357	0.1498642996
358	0.1498312554
359	0.1496575694
360	0.1494226387
361	0.1491375829
362	0.1490376553
363	0.1487807192
364	0.1486689158
365	0.1484096338
366	0.1482701602
367	0.1482105266
368	0.148179254
369	0.1479030634
370	0.1476310413
371	0.1474132848
372	0.1473826413
373	0.1472771954
374	0.1468692367
375	0.1464674414
376	0.1462361881
377	0.1461303548
378	0.1457911523
379	0.1457610257
380	0.1455133207
381	0.1451538961
382	0.1448305132
383	0.1445042328
384	0.1442688793
385	0.1440639081
386	0.1439659281
387	0.1438335335
388	0.1436881508
389	0.1434947273
390	0.1434656992
391	0.1434374705
392	0.1434096707
393	0.1432839713
394	0.1431284794
395	0.1431015799
396	0.1430377044
397	0.142742638
398	0.1424823929
399	0.1424558202
400	0.1421629706
401	0.14199951
402	0.1419375135
403	0.1417349739
404	0.1414974469
405	0.141338
406	0.1410371864
407	0.1407627487
408	0.1406631204
409	0.1406392259
410	0.1405968805
411	0.1405718452
412	0.1403292714
413	0.1399634585
414	0.13975309
415	0.1397240784
416	0.1395509852
417	0.139305954
418	0.1391323268
419	0.1388337144
420	0.1387897321
421	0.1385405902
422	0.1383735803
423	0.1382151074
424	0.1380349921
425	0.1377105648
426	0.1376458659
427	0.1375824944
428	0.1373433179
429	0.1371658753
430	0.1369423442
431	0.1366306409
432	0.1364043123
433	0.1361506179
434	0.1358545874
435	0.1356249195
436	0.1353613909
437	0.1350844672
438	0.1348393037
439	0.1347839529
440	0.1344496078
441	0.1340988458
442	0.1338418974
443	0.1335765628
444	0.1332957183
445	0.133273606
446	0.1331819239
447	0.1329111817
448	0.1328016713
449	0.132771119
450	0.1327503039
451	0.1324546006
452	0.1321699008
453	0.1319886624
454	0.1316014237
455	0.1314758621
456	0.1312196623
457	0.1310163519
458	0.1308201738
459	0.1303949048
460	0.1302292182
461	0.1299443252
462	0.129923714
463	0.1298084918
464	0.1296036012
465	0.1293647782
466	0.1290184202
467	0.1288320757
468	0.128812131
469	0.1286613327
470	0.1284391957
471	0.128306459
472	0.1280405671
473	0.1278375001
474	0.1275686555
475	0.1273435054
476	0.1273177611
477	0.1272456061
478	0.1270177253
479	0.1268526901
480	0.1265060927
481	0.126163458
482	0.1261439365
483	0.1259859043
484	0.1259648888
485	0.125753063
486	0.1255152091
487	0.1251424455
488	0.1248647384
489	0.1247059598
490	0.1244468604
491	0.1242661431
492	0.1242329254
493	0.1238811975
494	0.1238611132
495	0.1238203166
496	0.1237227966
497	0.1234502763
498	0.1232272534
499	0.1231880457
