iter	Passed	Remaining
0	4	2289
1	9	2408
2	13	2271
3	17	2135
4	21	2093
5	25	2112
6	29	2079
7	32	2022
8	36	2011
9	40	1992
10	44	1956
11	47	1912
12	50	1884
13	54	1902
14	58	1885
15	62	1902
16	67	1908
17	71	1906
18	74	1897
19	78	1893
20	82	1877
21	86	1876
22	89	1858
23	93	1846
24	96	1831
25	100	1823
26	104	1824
27	107	1817
28	111	1806
29	114	1798
30	118	1796
31	123	1800
32	126	1786
33	129	1778
34	134	1785
35	138	1779
36	141	1767
37	144	1760
38	148	1750
39	152	1750
40	155	1743
41	159	1735
42	162	1726
43	166	1724
44	170	1719
45	173	1712
46	176	1703
47	180	1698
48	184	1696
49	187	1689
50	190	1679
51	193	1671
52	198	1675
53	202	1673
54	206	1669
55	210	1668
56	215	1677
57	219	1675
58	223	1670
59	227	1667
60	232	1671
61	236	1671
62	240	1666
63	244	1662
64	248	1666
65	252	1660
66	256	1656
67	259	1651
68	264	1651
69	268	1650
70	272	1644
71	275	1638
72	280	1638
73	283	1630
74	286	1624
75	290	1620
76	294	1616
77	298	1613
78	301	1609
79	306	1609
80	311	1611
81	315	1606
82	318	1600
83	321	1594
84	325	1589
85	329	1586
86	334	1589
87	338	1585
88	342	1581
89	346	1579
90	350	1574
91	354	1571
92	357	1566
93	361	1563
94	365	1560
95	369	1555
96	372	1548
97	376	1546
98	380	1540
99	383	1534
100	387	1530
101	392	1529
102	395	1524
103	399	1519
104	402	1512
105	405	1506
106	409	1502
107	412	1496
108	415	1490
109	418	1484
110	422	1479
111	425	1474
112	430	1472
113	433	1468
114	436	1462
115	440	1459
116	444	1453
117	447	1447
118	450	1442
119	453	1437
120	458	1435
121	461	1429
122	464	1424
123	468	1421
124	473	1421
125	477	1417
126	481	1413
127	485	1411
128	490	1411
129	494	1407
130	498	1404
131	502	1400
132	506	1397
133	510	1393
134	513	1389
135	517	1384
136	522	1384
137	526	1380
138	529	1375
139	533	1370
140	537	1367
141	541	1365
142	546	1364
143	551	1362
144	558	1366
145	561	1361
146	565	1357
147	569	1355
148	573	1351
149	577	1347
150	581	1344
151	586	1343
152	590	1338
153	593	1333
154	597	1329
155	601	1325
156	605	1321
157	608	1317
158	612	1312
159	616	1309
160	620	1306
161	624	1303
162	627	1298
163	629	1289
164	633	1286
165	637	1282
166	641	1278
167	644	1273
168	650	1273
169	654	1269
170	657	1264
171	660	1259
172	663	1254
173	667	1251
174	670	1246
175	674	1241
176	678	1237
177	681	1232
178	685	1228
179	688	1224
180	692	1220
181	695	1215
182	698	1210
183	702	1207
184	706	1202
185	710	1199
186	713	1194
187	716	1189
188	720	1185
189	724	1181
190	727	1176
191	730	1171
192	734	1168
193	737	1163
194	741	1159
195	743	1153
196	747	1149
197	751	1145
198	754	1141
199	757	1136
200	760	1131
201	763	1127
202	768	1123
203	771	1119
204	775	1116
205	779	1113
206	784	1110
207	787	1105
208	791	1101
209	794	1097
210	798	1093
211	802	1089
212	805	1085
213	808	1081
214	812	1077
215	816	1073
216	820	1070
217	824	1065
218	827	1061
219	831	1058
220	835	1054
221	838	1049
222	842	1045
223	845	1041
224	849	1038
225	852	1033
226	856	1029
227	859	1025
228	863	1022
229	866	1017
230	870	1013
231	873	1009
232	876	1004
233	880	1001
234	884	996
235	887	992
236	890	988
237	893	983
238	897	980
239	900	975
240	903	971
241	907	967
242	911	963
243	914	959
244	917	955
245	921	951
246	924	947
247	928	943
248	932	940
249	935	935
250	939	931
251	942	927
252	946	923
253	949	919
254	953	915
255	956	911
256	960	908
257	965	905
258	969	901
259	973	898
260	978	896
261	982	892
262	986	888
263	989	884
264	995	882
265	999	879
266	1002	875
267	1006	870
268	1009	867
269	1013	863
270	1017	859
271	1020	855
272	1040	865
273	1044	861
274	1047	857
275	1050	852
276	1054	848
277	1058	845
278	1061	841
279	1065	836
280	1068	832
281	1071	828
282	1075	824
283	1079	820
284	1082	816
285	1085	812
286	1089	808
287	1093	804
288	1096	800
289	1100	797
290	1104	793
291	1108	789
292	1112	785
293	1115	781
294	1118	777
295	1122	773
296	1127	770
297	1131	767
298	1135	763
299	1138	759
300	1142	755
301	1145	751
302	1148	746
303	1151	742
304	1155	739
305	1159	734
306	1162	730
307	1165	726
308	1169	722
309	1172	718
310	1175	714
311	1178	710
312	1181	706
313	1185	702
314	1189	698
315	1192	694
316	1195	690
317	1199	686
318	1203	683
319	1207	679
320	1210	675
321	1214	671
322	1217	667
323	1221	663
324	1225	659
325	1228	655
326	1232	652
327	1236	648
328	1239	644
329	1243	640
330	1246	636
331	1249	632
332	1253	628
333	1256	624
334	1261	621
335	1265	617
336	1269	613
337	1272	609
338	1275	605
339	1279	601
340	1283	598
341	1287	594
342	1290	590
343	1293	586
344	1296	582
345	1300	578
346	1303	574
347	1307	570
348	1310	567
349	1315	563
350	1318	559
351	1322	555
352	1325	551
353	1328	547
354	1332	544
355	1336	540
356	1339	536
357	1343	532
358	1346	528
359	1350	525
360	1353	521
361	1357	517
362	1360	513
363	1364	509
364	1367	505
365	1370	501
366	1373	497
367	1376	493
368	1380	490
369	1384	486
370	1387	482
371	1391	478
372	1394	474
373	1398	471
374	1401	467
375	1404	463
376	1408	459
377	1412	455
378	1415	451
379	1418	448
380	1422	444
381	1426	440
382	1429	436
383	1434	433
384	1437	429
385	1440	425
386	1444	421
387	1448	418
388	1451	414
389	1454	410
390	1457	406
391	1461	402
392	1464	398
393	1467	394
394	1470	390
395	1473	386
396	1477	383
397	1480	379
398	1483	375
399	1486	371
400	1490	367
401	1494	364
402	1497	360
403	1500	356
404	1504	352
405	1509	349
406	1513	345
407	1516	341
408	1518	337
409	1521	334
410	1525	330
411	1529	326
412	1532	322
413	1535	319
414	1538	315
415	1542	311
416	1545	307
417	1548	303
418	1551	299
419	1554	296
420	1558	292
421	1562	288
422	1566	285
423	1568	281
424	1572	277
425	1576	273
426	1579	270
427	1582	266
428	1585	262
429	1588	258
430	1592	254
431	1595	251
432	1598	247
433	1601	243
434	1604	239
435	1608	236
436	1611	232
437	1614	228
438	1617	224
439	1620	220
440	1625	217
441	1628	213
442	1631	209
443	1634	206
444	1637	202
445	1641	198
446	1644	194
447	1647	191
448	1650	187
449	1655	183
450	1658	180
451	1661	176
452	1663	172
453	1667	168
454	1670	165
455	1674	161
456	1677	157
457	1680	154
458	1683	150
459	1686	146
460	1690	142
461	1692	139
462	1695	135
463	1698	131
464	1702	128
465	1705	124
466	1708	120
467	1711	117
468	1714	113
469	1717	109
470	1721	105
471	1724	102
472	1727	98
473	1730	94
474	1733	91
475	1737	87
476	1741	83
477	1744	80
478	1747	76
479	1752	73
480	1755	69
481	1759	65
482	1762	62
483	1764	58
484	1768	54
485	1772	51
486	1775	47
487	1778	43
488	1781	40
489	1785	36
490	1788	32
491	1791	29
492	1794	25
493	1797	21
494	1800	18
495	1803	14
496	1806	10
497	1809	7
498	1812	3
499	1816	0
